,0
0,39.696983337402344
1,21.387880325317383
2,17.160533905029297
3,15.410931587219238
4,14.426307678222656
5,13.48364543914795
6,19.462339401245117
7,15.910884857177734
8,12.278038024902344
9,8.939029693603516
10,10.784299850463867
11,11.988265991210938
12,13.642107963562012
13,9.566845893859863
14,7.039992809295654
15,5.565617561340332
16,5.732502460479736
17,6.778771877288818
18,5.4745259284973145
19,4.882275581359863
20,4.399515151977539
21,4.600968837738037
22,5.511531352996826
23,4.934086799621582
24,4.335361957550049
25,4.324221134185791
26,4.32122278213501
27,3.691828727722168
28,3.1311140060424805
29,3.010342836380005
30,2.966799259185791
31,3.907259225845337
32,3.59094500541687
33,4.464818000793457
34,3.275989532470703
35,3.5608623027801514
36,2.7057602405548096
37,2.3791112899780273
38,2.360680341720581
39,2.9729974269866943
40,2.5194122791290283
41,2.2232725620269775
42,2.7362425327301025
43,2.3364903926849365
44,2.7524948120117188
45,2.6407511234283447
46,3.2707650661468506
47,3.895703077316284
48,4.284857273101807
49,4.666835308074951
50,3.744000196456909
51,3.5550832748413086
52,3.3413822650909424
53,2.591768503189087
54,2.827876567840576
55,2.5053837299346924
56,3.5979385375976562
57,3.1528968811035156
58,3.062307834625244
59,2.7786853313446045
60,3.05434250831604
61,2.5832462310791016
62,2.8893754482269287
63,3.3451027870178223
64,3.048863172531128
65,2.99566388130188
66,3.151705741882324
67,3.012155771255493
68,2.540860176086426
69,2.138972759246826
70,2.5177431106567383
71,2.6153411865234375
72,2.375532388687134
73,2.119192361831665
74,2.1089234352111816
75,2.0780773162841797
76,1.8419548273086548
77,2.039135456085205
78,2.2915420532226562
79,1.991328477859497
80,2.220094680786133
81,3.7225797176361084
82,2.9404518604278564
83,3.263831853866577
84,2.9525492191314697
85,2.448610782623291
86,2.5150105953216553
87,2.710289716720581
88,2.37477445602417
89,2.341691017150879
90,2.454340934753418
91,2.7102928161621094
92,2.34844970703125
93,2.52010440826416
94,3.019066333770752
95,2.6755805015563965
96,2.1688759326934814
97,2.7517240047454834
98,2.532236099243164
99,2.3174805641174316
