,0
0,57.16936111450195
1,23.435531616210938
2,19.083389282226562
3,26.586355209350586
4,21.267000198364258
5,18.052217483520508
6,26.062219619750977
7,19.418237686157227
8,17.801488876342773
9,20.83694076538086
10,19.432968139648438
11,17.9698429107666
12,19.812950134277344
13,32.733421325683594
14,25.60966682434082
15,23.299179077148438
16,23.589702606201172
17,25.802745819091797
18,20.51165008544922
19,21.521406173706055
20,24.235105514526367
21,24.960803985595703
22,23.412981033325195
23,20.149263381958008
24,18.48041534423828
25,18.723220825195312
26,20.534652709960938
27,21.735990524291992
28,23.310379028320312
29,19.524890899658203
30,18.23969078063965
31,18.649904251098633
32,21.093595504760742
33,19.23711585998535
34,18.726720809936523
35,21.897241592407227
36,17.88935089111328
37,18.924041748046875
38,19.872913360595703
39,18.59605598449707
40,19.14021873474121
41,21.91011619567871
42,19.276607513427734
43,18.22031593322754
44,18.41865348815918
45,19.3631649017334
46,18.4719181060791
47,19.35772705078125
48,17.537513732910156
49,18.89004898071289
50,18.747787475585938
51,17.965877532958984
52,18.037891387939453
53,17.41851043701172
54,17.240983963012695
55,17.56218910217285
56,17.922651290893555
57,18.706132888793945
58,18.439064025878906
59,19.87327003479004
60,20.39945411682129
61,17.550094604492188
62,18.499740600585938
63,18.773176193237305
64,20.246721267700195
65,17.439252853393555
66,18.200653076171875
67,20.720115661621094
68,20.389877319335938
69,18.451749801635742
70,19.54682159423828
71,17.681629180908203
72,18.105154037475586
73,17.503555297851562
74,17.204635620117188
75,18.429351806640625
76,18.070220947265625
77,17.715085983276367
78,17.885923385620117
79,17.452713012695312
80,17.53397560119629
81,18.294963836669922
82,18.944250106811523
83,18.79193687438965
84,18.422252655029297
85,17.373348236083984
86,17.131010055541992
87,17.8880672454834
88,17.753881454467773
89,16.681594848632812
90,17.34381866455078
91,17.718643188476562
92,17.644454956054688
93,17.328943252563477
94,17.601694107055664
95,17.81295394897461
96,17.812301635742188
97,17.6989688873291
98,17.9713134765625
99,17.96364402770996
